;Company;Product;Type_Name;Inches;Screen_Resolution;Cpu;RAM;Memory;GPU;OS;Weight;Price
58;Asus;VivoBook Max;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;2kg;586.19 EUR
59;MSI;GS73VR 7RG;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.43kg;2 449.00 EUR
60;Asus;X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux);Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;256GB SSD;Intel HD Graphics 520;Linux;2kg;415.00 EUR
61;Dell;Inspiron 5770;Notebook;17.3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.8kg;1 299.00 EUR
62;Dell;Vostro 5471;Ultrabook;14;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.7kg;879.00 EUR
63;Lenovo;IdeaPad 520S-14IKB;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;No OS;1.7kg;599.00 EUR
64;Asus;UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10);Notebook;14;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.4kg;941.00 EUR
66;HP;250 G6;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.86kg;690.00 EUR
67;Asus;ZenBook Pro;Ultrabook;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;1.8kg;1 983.00 EUR
68;HP;250 G6;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;500GB HDD;AMD Radeon 520;Windows 10;1.86kg;438.69 EUR
69;HP;Stream 14-AX040wm;Notebook;14;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4GB;32GB SSD;Intel HD Graphics 400;Windows 10;1.44kg;229.00 EUR
70;Lenovo;V310-15ISK (i5-7200U/4GB/1TB/FHD/W10);Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;1.9kg;549.00 EUR
71;Asus;FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;12GB;1TB HDD;Nvidia GeForce GTX 1050 Ti;Linux;3kg;949.00 EUR
72;Microsoft;Surface Laptop;Ultrabook;13.5;Touchscreen 2256x1504;Intel Core i5 7200U 2.5GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10 S;1.252kg;1 089.00 EUR
73;Dell;Inspiron 5370;Ultrabook;13.3;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon 530;Windows 10;1.4kg;955.00 EUR
74;Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon 530;Windows 10;2.2kg;870.00 EUR
75;MSI;GL72M 7RDX;Gaming;17.3;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.7kg;1 095.00 EUR
76;Acer;Aspire E5-475;Notebook;14;1366x768;Intel Core i3 6006U 2GHz;8GB;1TB HDD;Intel HD Graphics 520;Windows 10;2.1kg;389.00 EUR
77;Asus;FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.2kg;949.00 EUR
78;Lenovo;IdeaPad 320-15IKBN;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;2TB HDD;Intel HD Graphics 620;No OS;2.2kg;519.00 EUR
79;Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;128GB SSD +  1TB HDD;Intel UHD Graphics 620;Windows 10;2.02kg;855.00 EUR
80;Acer;Aspire A515-51G-32MX;Notebook;15.6;Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;4GB;1TB HDD;Nvidia GeForce MX130;Windows 10;2.2kg;530.00 EUR
81;HP;ProBook 470;Notebook;17.3;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce 930MX;Windows 10;2.5kg;977.00 EUR
82;Dell;Latitude 5590;Ultrabook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.88kg;1 096.16 EUR
83;Apple;"MacBook 12""";Ultrabook;12;IPS Panel Retina Display 2304x1440;Intel Core i5 1.3GHz;8GB;512GB SSD;Intel HD Graphics 615;macOS;0.92kg;1 510.00 EUR
84;HP;ProBook 440;Notebook;14;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.63kg;860.00 EUR
85;Lenovo;IdeaPad 320-15AST;Notebook;15.6;Full HD 1920x1080;AMD A6-Series 9220 2.5GHz;4GB;128GB SSD;AMD R4 Graphics;Windows 10;2.2kg;399.00 EUR
86;Acer;Aspire 3;Notebook;15.6;1366x768;AMD A9-Series 9420 3GHz;4GB;1TB HDD;AMD Radeon R5;Windows 10;2.1kg;395.00 EUR
87;Dell;Inspiron 7577;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.65kg;1 349.00 EUR
88;HP;Pavilion 15-CK000nv;Ultrabook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 940MX;Windows 10;1.83kg;699.00 EUR
89;HP;250 G6;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.96kg;598.99 EUR
90;Asus;FX503VM-E4007T (i7-7700HQ/16GB/1TB;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.2kg;1 449.00 EUR
91;Dell;XPS 13;Ultrabook;13.3;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.21kg;1 649.00 EUR
92;Asus;FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon;Gaming;15.6;Full HD 1920x1080;AMD FX 9830P 3GHz;8GB;1TB HDD;AMD Radeon RX 560;Windows 10;2.45kg;699.00 EUR
93;Acer;Aspire 5;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;1TB HDD;Nvidia GeForce MX150;Windows 10;2.2kg;689.00 EUR
94;HP;Probook 430;Notebook;13.3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.49kg;1 197.00 EUR
95;Dell;Inspiron 7577;Gaming;15.6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Nvidia GeForce GTX 1060;Windows 10;2.65kg;1 195.00 EUR
96;Asus;Zenbook UX430UA;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.25kg;1 049.00 EUR
97;Acer;Spin 5;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.5kg;847.00 EUR
98;Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;AMD Radeon R5 M430;Linux;2.2kg;599.90 EUR
99;Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;256GB SSD;AMD Radeon R5 M430;Linux;2.2kg;485.00 EUR
100;Asus;X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce;Notebook;15.6;Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;6GB;256GB SSD;Nvidia GeForce 920M;Windows 10;2kg;577.00 EUR
102;HP;Omen 15-ce007nv;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;12GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.62kg;1 249.00 EUR
103;HP;15-bs017nv (i7-7500U/8GB/256GB/Radeon;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;AMD Radeon 530;Windows 10;1.91kg;719.00 EUR
104;HP;15-bw000nv (E2-9000e/4GB/500GB/Radeon;Notebook;15.6;Full HD 1920x1080;AMD E-Series E2-9000e 1.5GHz;4GB;500GB HDD;AMD Radeon R2;Windows 10;2.1kg;349.00 EUR
105;Dell;Inspiron 3576;Notebook;15.6;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;AMD Radeon 520;Linux;2.2kg;647.00 EUR
106;HP;Envy 13-ad009n;Ultrabook;13.3;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce MX150;Windows 10;1.38kg;1 119.00 EUR
107;Microsoft;Surface Laptop;Ultrabook;13.5;Touchscreen 2256x1504;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10 S;1.252kg;1 340.00 EUR
108;HP;Pavilion 14-BK001nv;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;6GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.58kg;659.00 EUR
109;Lenovo;Ideapad 310-15ISK;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;1.85kg;414.90 EUR
110;Asus;UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.3kg;1 193.00 EUR
111;MSI;GP62M 7REX;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.2kg;1 299.00 EUR
112;Lenovo;Thinkpad T470;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.58kg;1 480.00 EUR
113;Asus;VivoBook S15;Ultrabook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce MX150;Windows 10;1.5kg;1 262.00 EUR
114;Dell;XPS 13;Ultrabook;13.3;Quad HD+ / Touchscreen 3200x1800;Intel Core i7 7560U 2.4GHz;8GB;256GB SSD;Intel Iris Plus Graphics 640;Windows 10;1.23kg;1 379.00 EUR
115;Lenovo;ThinkPad Yoga;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.37kg;1 399.00 EUR
116;HP;Probook 440;Notebook;14;IPS Panel 1366x768;Intel Core i5 8250U 1.6GHz;4GB;500GB HDD;Intel UHD Graphics 620;Windows 10;1.63kg;722.00 EUR
117;Dell;XPS 13;Ultrabook;13.3;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.21kg;1 629.00 EUR
118;HP;Spectre x360;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.26kg;1 398.99 EUR
119;HP;Probook 440;Notebook;14;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.63kg;1 084.00 EUR
120;Dell;Inspiron 7570;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;2.16kg;1 130.33 EUR
121;Asus;X705UV-BX074T (i3-6006U/4GB/1TB/GeForce;Notebook;17.3;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Nvidia GeForce 920MX;Windows 10;2kg;564.00 EUR
122;Asus;VivoBook S15;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.7kg;1 118.00 EUR
123;Acer;Spin 3;Notebook;15.6;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i3 7100U 2.4GHz;6GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.1kg;479.00 EUR
124;MSI;GS63VR 7RG;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1070;Windows 10;1.8kg;2 241.50 EUR
125;Lenovo;IdeaPad 320-15IKBN;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 940MX;No OS;2.2kg;629.00 EUR
126;HP;Probook 470;Notebook;17.3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Nvidia GeForce 930MX ;Windows 10;2.5kg;1 271.00 EUR
127;Acer;Aspire 3;Notebook;15.6;1366x768;AMD A9-Series 9420 3GHz;4GB;256GB SSD;AMD Radeon R5;Windows 10;2.1kg;451.00 EUR
128;HP;250 G6;Notebook;15.6;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4GB;500GB HDD;Intel HD Graphics 400;No OS;1.86kg;259.00 EUR
129;HP;Probook 440;Notebook;14;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;Intel UHD Graphics 620;Windows 10;1.63kg;812.00 EUR
130;Asus;E402WA-GA007T (E2-6110/4GB/64GB/W10;Notebook;14;1366x768;AMD E-Series 6110 1.5GHz;4GB;64GB SSD;AMD Radeon R2;Windows 10 S;1.65kg;277.99 EUR
131;Dell;Inspiron 5770;Notebook;17.3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.8kg;1 396.00 EUR
132;HP;ProBook 470;Notebook;17.3;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;2.5kg;928.00 EUR
133;Dell;Inspiron 5567;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;AMD Radeon R7 M445;Windows 10;2.36kg;638.99 EUR
134;Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;1TB HDD;AMD Radeon R5 M430;Windows 10;2.2kg;449.00 EUR
135;Acer;Swift 3;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.6kg;884.00 EUR
136;Acer;Aspire A515-51G-37JS;Notebook;15.6;Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;4GB;256GB SSD;Nvidia GeForce MX130;Windows 10;2.2kg;572.00 EUR
